,Symbols,Source_urls,Oustanding_Shares,Raw_outstanding_share_vals
MMM,MMM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/66740/000006674022000076/mmm-20220930.htm',"552,742,915",552742915
AOS,AOS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/91142/000009114222000101/aos-20220930.htm',"25,905,876",25905876
ABT,ABT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1800/000162828022027550/abt-20220930.htm',"1,743,573,777",1743573777
ABBV,ABBV,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1551152/000155115222000045/abbv-20220930.htm',"1,768,480,508",1768480508
ACN,ACN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1467373/000146737322000370/acn-20221130.htm',"658,388,513",658388513
ATVI,ATVI,'https://www.sec.gov/ix?doc=/Archives/edgar/data/718877/000162828022028658/atvi-20220930.htm',"782,625,319",782625319
ADM,ADM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/7084/000000708422000029/adm-20220930.htm',"549,334,227",549334227
ADBE,ADBE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/796343/000079634322000196/adbe-20220902.htm',"464,900,000",464900000
ADP,ADP,'https://www.sec.gov/ix?doc=/Archives/edgar/data/8670/000000867022000046/adp-20220930.htm',"414,827,769",414827769
AAP,AAP,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1158449/000115844922000268/aap-20221008.htm',"59,253,716",59253716
AES,AES,'https://www.sec.gov/ix?doc=/Archives/edgar/data/874761/000087476122000073/aes-20220930.htm',"667,949,778",667949778
AFL,AFL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/4977/000000497722000145/afl-20220930.htm',"621,788,560",621788560
A,A,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1090872/000109087222000026/a-20221031.htm',"296,072,040",296072040
APD,APD,'https://www.sec.gov/ix?doc=/Archives/edgar/data/2969/000000296922000054/apd-20220930.htm',"221,865,971",221865971
AKAM,AKAM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1086222/000108622222000251/akam-20220930.htm',"157,242,292",157242292
ALK,ALK,'https://www.sec.gov/ix?doc=/Archives/edgar/data/766421/000076642122000071/alk-20220930.htm',"126,837,831",126837831
ALB,ALB,'https://www.sec.gov/ix?doc=/Archives/edgar/data/915913/000091591322000167/alb-20220930.htm',"117,152,794",117152794
ARE,ARE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1035443/000103544322000308/are-20220930.htm',"164,087,276",164087276
ALGN,ALGN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1097149/000109714922000067/algn-20220930.htm',"78,112,351",78112351
ALLE,ALLE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1579241/000157924122000063/alle-20220930.htm',"87,844,822",87844822
LNT,LNT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/352541/000035254122000082/lnt-20220930.htm',"251,021,830",251021830
ALL,ALL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/899051/000089905122000079/all-20220930.htm',"265,209,574",265209574
GOOG,GOOG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204422000090/goog-20220930.htm',"5,973,000,00",1194600000
MO,MO,'https://www.sec.gov/ix?doc=/Archives/edgar/data/764180/000076418022000102/mo-20220930.htm',"1,792,172,618",1792172618
AMZN,AMZN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1018724/000101872422000023/amzn-20220930.htm',"10,201,654,176",10201654176
AMCR,AMCR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1748790/000174879022000034/amcr-20220930.htm',"1,489,019,556",1489019556
AMD,AMD,'https://www.sec.gov/ix?doc=/Archives/edgar/data/2488/000000248822000170/amd-20220924.htm',"1,612,356,162",1612356162
AEE,AEE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1002910/000100291022000087/aee-20220930.htm',"258,522,169",258522169
AAL,AAL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/6201/000000620122000086/aal-20220930.htm',"649,900,887",649900887
AEP,AEP,'https://www.sec.gov/ix?doc=/Archives/edgar/data/4904/000000490422000093/aep-20220930.htm',"513,863,678",513863678
AXP,AXP,'https://www.sec.gov/ix?doc=/Archives/edgar/data/4962/000000496222000054/axp-20220930.htm',"747,232,696",747232696
AIG,AIG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/5272/000000527222000027/aig-20220930.htm',"742,980,010",742980010
AMT,AMT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1053507/000105350722000118/amt-20220930.htm',"465,605,603",465605603
AWK,AWK,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1410636/000141063622000155/awk-20220930.htm',"181,827,874",181827874
AMP,AMP,'https://www.sec.gov/ix?doc=/Archives/edgar/data/820027/000082002722000088/amp-20220930.htm',"106,417,199",106417199
ABC,ABC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1140859/000114085922000098/abc-20220930.htm',"205,668,628",205668628
AME,AME,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1037868/000103786822000054/ame-20220930.htm',"229,654,397",229654397
AMGN,AMGN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/318154/000031815422000055/amgn-20220930.htm',"533,579,206",533579206
APH,APH,'https://www.sec.gov/ix?doc=/Archives/edgar/data/820313/000155837022015585/aph-20220930x10q.htm,"595,094,540",595094540
ADI,ADI,'https://www.sec.gov/ix?doc=/Archives/edgar/data/6281/000000628122000250/adi-20221029.htm',"509,295,941",509295941
ANSS,ANSS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1013462/000101346222000031/anss-20220930.htm',"87,112,235",87112235
AON,AON,'https://www.sec.gov/ix?doc=/Archives/edgar/data/315293/000162828022027307/aon-20220930.htm',"206,852,936",206852936
APA,APA,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1841666/000178403122000028/apa-20220930.htm',"321,511,801",321511801
AAPL,AAPL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm',"15,908,118,000",15908118000
AMAT,AMAT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/6951/000000695122000043/amat-20221030.htm',"844,139,722",844139722
APTV,APTV,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1521332/000152133222000056/aptv-20220930.htm',"270,949,579",270949579
ACGL,ACGL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/947484/000094748422000077/acgl-20220930.htm',"369,873,027",369873027
ANET,ANET,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1596532/000159653222000294/anet-20220930.htm',"305,572,616",305572616
AJG,AJG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/354190/000095017022021298/ajg-20220930.htm',"210,840,000",210840000
AIZ,AIZ,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1267238/000126723822000040/aiz-20220930.htm',"52,831,429",52831429
T,T,'https://www.sec.gov/ix?doc=/Archives/edgar/data/732717/000073271722000102/t-20220930.htm',"7,127,000,000",7127000000
ATO,ATO,'https://www.sec.gov/ix?doc=/Archives/edgar/data/731802/000073180222000037/ato-20220930.htm',"140,900,576",140900576
ADSK,ADSK,'https://www.sec.gov/ix?doc=/Archives/edgar/data/769397/000076939722000148/adsk-20221031.htm',"215,767,494",215767494
AZO,AZO,'https://www.sec.gov/ix?doc=/Archives/edgar/data/866787/000155837022018835/azo-20221119x10q.htm,"18,765,671",18765671
AVB,AVB,'https://www.sec.gov/ix?doc=/Archives/edgar/data/915912/000091591222000020/avb-20220930.htm',"139,897,351",139897351
AVY,AVY,'https://www.sec.gov/ix?doc=/Archives/edgar/data/8818/000000881822000014/avy-20221001.htm',"80,969,014",80969014
BKR,BKR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1701605/000170160522000151/bkr-20220930.htm',"1,001,467,54",100146754
BLL,BLL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/9389/000155837022016282/bll-20220930x10q.htm',"313,920,150",313920150
BAC,BAC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/70858/000007085822000131/bac-20220930.htm',"8,022,432,239",8022432239
BBWI,BBWI,'https://www.sec.gov/ix?doc=/Archives/edgar/data/701985/000070198522000040/bbwi-20221029.htm',"228,414,615",228414615
BAX,BAX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/10456/000162828022027149/bax-20220930.htm',"504,120,759",504120759
BDX,BDX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/10795/000162828022030686/bdx-20220930.htm',"283,375,793",283375793
WRB,WRB,'https://www.sec.gov/ix?doc=/Archives/edgar/data/11544/000001154422000032/wrb-20220930.htm',"265,476,121",265476121
BRKA,BRKA,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1067983/000095017022022287/brka-20220930.htm',"596,826",596826
BBY,BBY,'https://www.sec.gov/ix?doc=/Archives/edgar/data/764478/000076447822000044/bby-20221029x10q.htm,"221,264,454",221264454
BIO,BIO,'https://www.sec.gov/ix?doc=/Archives/edgar/data/12208/000001220822000071/bio-20220930.htm',"24,749,308",24749308
TMB,TMB,'https://www.sec.gov/ix?doc=/Archives/edgar/data/842023/000155837022016640/tmb-20220930x10q.htm,"39,242,384",39242384
BIIB,BIIB,'https://www.sec.gov/ix?doc=/Archives/edgar/data/875045/000087504522000031/biib-20220930.htm',"144,001,404",144001404
BLK,BLK,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1364742/000095017022022155/blk-20220930.htm',"150,195,577",150195577
BK,BK,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1390777/000139077722000101/bk-20220930.htm',"808,279,949",808279949
BA,BA,'https://www.sec.gov/ix?doc=/Archives/edgar/data/12927/000001292722000073/ba-20220930.htm',"595,983,192",595983192
BKNG,BKNG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1075531/000107553122000043/bkng-20220930.htm',"38,789,388",38789388
BWA,BWA,'https://www.sec.gov/ix?doc=/Archives/edgar/data/908255/000090825522000041/bwa-20220930.htm',"234,153,930",234153930
BXP,BXP,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1037540/000165642322000043/bxp-20220930.htm',"156,754,712",156754712
BSX,BSX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/885725/000088572522000028/bsx-20220930.htm',"1,432,311,282",1432311282
BMY,BMY,'https://www.sec.gov/ix?doc=/Archives/edgar/data/14272/000001427222000196/bmy-20220930.htm',"2,126,160,347",2126160347
AVGO,AVGO,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1730168/000173016822000118/avgo-20221030.htm',"417,886,140",417886140
BR,BR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1383312/000138331222000052/br-20220930.htm',"117,655,323",117655323
BRO,BRO,'https://www.sec.gov/ix?doc=/Archives/edgar/data/79282/000095017022021976/bro-20220930.htm',"283,222,367",283222367
BFB,BFB,'https://www.sec.gov/ix?doc=/Archives/edgar/data/14693/000001469322000151/bfb-20221031.htm',"169,198,217",169198217
CHRW,CHRW,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1043277/000104327722000045/chrw-20220930.htm',"117,709,468",117709468
CDNS,CDNS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/813672/000081367222000054/cdns-20221001.htm',"274,316,000",274316000
CZR,CZR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1590895/000159089522000148/czr-20220930.htm',"214,566,105",214566105
CPT,CPT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/906345/000090634522000042/cpt-20220930.htm',"106,528,035",106528035
CPB,CPB,'https://www.sec.gov/ix?doc=/Archives/edgar/data/16732/000001673222000156/cpb-20221030.htm',"299,467,564",299467564
COF,COF,'https://www.sec.gov/ix?doc=/Archives/edgar/data/927628/000092762822000306/cof-20220930.htm',"381,698,572",381698572
CAH,CAH,'https://www.sec.gov/ix?doc=/Archives/edgar/data/721371/000072137122000133/cah-20220930.htm',"262,134,053",262134053
KMX,KMX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1170010/000117001023000006/kmx-20221130.htm',"158,023,499",158023499
CCL,CCL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/815097/000081509722000073/ccl-20220831.htm',"1,112,706,805",1112706805
CARR,CARR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1783180/000178318022000056/carr-20220930.htm',"836,261,515",836261515
CTLT,CTLT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1596783/000159678322000185/ctlt-20220930.htm',"179,963,589",179963589
CAT,CAT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/18230/000001823022000223/cat-20220930.htm',"520,409,355",520409355
CBOE,CBOE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1374310/000155837022016342/cboe-20220930x10q.h,"106,082,175",106082175
CBRE,CBRE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1138118/000113811822000033/cbre-20220930.htm',"315,948,538",315948538
CDW,CDW,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1402057/000140205722000159/cdw-20220930.htm',"135,390,982",135390982
CE,CE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1306830/000130683022000184/ce-20220930.htm',"108,428,071",108428071
CNC,CNC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1071739/000107173922000361/cnc-20220930.htm',"566,259,693",566259693
CNP,CNP,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1130310/000113031022000123/cnp-20220930.htm',"629,535,631",629535631
CDAY,CDAY,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1725057/000095017022021260/cday-20220930.htm',"153,594,867",153594867
CF,CF,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1324404/000132440422000028/cf-20220930.htm',"196,189,463",196189463
CRL,CRL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1100682/000110068222000032/crl-20220924.htm',"50,878,656",50878656
SCHW,SCHW,'https://www.sec.gov/ix?doc=/Archives/edgar/data/316709/000031670922000045/schw-20220930.htm',"1,815,845,67",181584567
CHTR,CHTR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1091667/000109166722000115/chtr-20220930.htm',"155,672,281",155672281
CVX,CVX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/93410/000009341022000075/cvx-20220930.htm',"1,933,638,546",1933638546
CMG,CMG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1058090/000105809022000043/cmg-20220930x10q.ht,"27,721,112",27721112
CB,CB,'https://www.sec.gov/ix?doc=/Archives/edgar/data/896159/000089615922000014/cb-20220930.htm',"415,050,274",415050274
CHD,CHD,'https://www.sec.gov/ix?doc=/Archives/edgar/data/313927/000095017022020408/chd-20220930.htm',"243,868,347",243868347
CI,CI,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1739940/000173994022000025/ci-20220930.htm',"305,739,004",305739004
CINF,CINF,'https://www.sec.gov/ix?doc=/Archives/edgar/data/20286/000002028622000066/cinf-20220930.htm',"157,184,308",157184308
CTAS,CTAS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/723254/000072325423000003/ctas-20221130.htm',"101,620,479",101620479
CSCO,CSCO,'https://www.sec.gov/ix?doc=/Archives/edgar/data/858877/000085887722000025/csco-20221029.htm',"4,108,103,063",4108103063
C,C,'https://www.sec.gov/ix?doc=/Archives/edgar/data/831001/000083100122000146/c-20220930.htm',"1,936,852,864",1936852864
CFG,CFG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/759944/000075994422000142/cfg-20220930.htm',"492,490,966",492490966
CLX,CLX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/21076/000002107622000035/clx-20220930.htm',"123,384,797",123384797
CME,CME,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1156375/000115637522000312/cme-20220930.htm',625,625
CMS,CMS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/811156/000081115622000119/cms-20220930.htm',"290,251,602",290251602
KO,KO,'https://www.sec.gov/ix?doc=/Archives/edgar/data/21344/000002134422000042/ko-20220930.htm',"4,324,513,264",4324513264
CTSH,CTSH,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1058290/000105829022000321/ctsh-20220930.htm',"513,921,432",513921432
CL,CL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/21665/000002166522000027/cl-20220930.htm',"835,214,210",835214210
CMCSA,CMCSA,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1166691/000116669122000039/cmcsa-20220930.htm',"4,313,964,31",431396431
CMA,CMA,'https://www.sec.gov/ix?doc=/Archives/edgar/data/28412/000002841222000163/cma-20220930.htm',"130,952,419",130952419
CAG,CAG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/23217/000143774923000496/cag20221011b_10q.htm',"476,622,501",476622501
COP,COP,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1163165/000116316522000017/cop-20220930.htm',"1,246,071,066",1246071066
ED,ED,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1047862/000104786222000248/ed-20220930.htm',"354,862,848",354862848
STZ,STZ,'https://www.sec.gov/ix?doc=/Archives/edgar/data/16918/000001691823000006/stz-20221130.htm',"184,498,219",184498219
CEG,CEG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1868275/000186827522000094/ceg-20220930.htm',"327,017,895",327017895
COO,COO,'https://www.sec.gov/ix?doc=/Archives/edgar/data/711404/000071140422000053/coo-20221031.htm',"49,354,384",49354384
CPRT,CPRT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/900075/000090007522000065/cprt-20221031.htm',"476,300,011",476300011
GLW,GLW,'https://www.sec.gov/ix?doc=/Archives/edgar/data/24741/000143774922024920/glw20220930_10q.htm',"845,811,376",845811376
CTVA,CTVA,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1755672/000175567222000026/ctva-20220930.htm',"714,492,000",714492000
CSGP,CSGP,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1057352/000105735222000121/csgp-20220930.htm',"406,690,060",406690060
COST,COST,'https://www.sec.gov/ix?doc=/Archives/edgar/data/909832/000090983222000035/cost-20221120.htm',"443,729,036",443729036
COG,COG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/858470/000085847022000042/cog-20220930.htm',"788,467,351",788467351
CCI,CCI,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1051470/000105147022000173/cci-20220930.htm',"433,048,001",433048001
CSX,CSX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/277948/000027794822000045/csx-20220930.htm',"2,102,408,729",2102408729
CMI,CMI,'https://www.sec.gov/ix?doc=/Archives/edgar/data/26172/000002617222000057/cmi-20220930.htm',"141,022,462",141022462
CVS,CVS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/64803/000006480322000038/cvs-20220930.htm',"1,313,966,912",1313966912
DHI,DHI,'https://www.sec.gov/ix?doc=/Archives/edgar/data/882184/000088218422000184/dhi-20220930.htm',"344,341,227",344341227
DHR,DHR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/313616/000031361622000223/dhr-20220930.htm',"727,962,702",727962702
DRI,DRI,'https://www.sec.gov/ix?doc=/Archives/edgar/data/940944/000094094423000004/dri-20221127.htm',"121,705,296",121705296
DVA,DVA,'https://www.sec.gov/ix?doc=/Archives/edgar/data/927066/000092706622000167/dva-20220930.htm',"90,100,000",90100000
DE,DE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/315189/000155837022018703/de-20221030x10k.htm',"298,237,257",298237257
DAL,DAL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/27904/000002790422000013/dal-20220930.htm',"641,188,362",641188362
XRAY,XRAY,'https://www.sec.gov/ix?doc=/Archives/edgar/data/818479/000081847922000119/xray-20220930.htm',"214,911,886",214911886
DVN,DVN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1090012/000095017022021074/dvn-20220930.htm',"653,700,000",653700000
DXCM,DXCM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1093557/000109355722000171/dxcm-20220930.htm',"386,258,125",386258125
FANG,FANG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1539838/000153983822000167/fang-20220930.htm',"175,998,577",175998577
DLR,DLR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1297996/000155837022016456/dlr-20220930x10q.ht,"287,522,275",287522275
DFS,DFS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1393612/000162828022027220/dfs-20220930.htm',"273,225,765",273225765
DISH,DISH,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1001082/000155837022015893/dish-20220930x10q.h,"292,270,989",292270989
DIS,DIS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1744489/000174448922000213/dis-20221001.htm',"1,823,591,988",1823591988
DG,DG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/29534/000155837022018302/dg-20221028x10q.htm',"223,574,799",223574799
DLTR,DLTR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/935703/000093570322000073/dltr-20221029.htm',"221,184,479",221184479
D,D,'https://www.sec.gov/ix?doc=/Archives/edgar/data/715957/000156459022036712/d-10q_20220930.htm',"833,275,205",833275205
DPZ,DPZ,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1286681/000095017022019533/dpz-20220911.htm',"35,399,379",35399379
DOV,DOV,'https://www.sec.gov/ix?doc=/Archives/edgar/data/29905/000002990522000040/dov-20220930.htm',"140,353,950",140353950
DOW,DOW,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1751788/000175178822000131/dow-20220930.htm',"703,759,269",703759269
DTE,DTE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/936340/000093634022000205/dte-20220930.htm',"193,741,991",193741991
DUK,DUK,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1326160/000132616022000279/duk-20220930.htm',"770,062,772",770062772
DD,DD,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1666700/000166670022000077/dd-20220930.htm',"496,788,948",496788948
DXC,DXC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1688568/000168856822000073/dxc-20220930.htm',"230,065,223",230065223
EMN,EMN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/915389/000091538922000051/emn-20220930.htm',"119,990,364",119990364
ETN,ETN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1551182/000155118222000024/etn-20220930.htm',"397,700,000",397700000
EBAY,EBAY,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1065088/000106508822000030/ebay-20220930.htm',"542,659,087",542659087
ECL,ECL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/31462/000155837022016340/ecl-20220930x10q.htm',"284,828,060",284828060
